Hour,Minute,Second,Microsecond,IR1,
11,10,11,319231,28277,11.32
11,10,11,327182,28276,11.33
11,10,11,340147,28274,11.34
11,10,11,348275,28309,11.35
11,10,11,360254,28642,11.36
11,10,11,372074,29758,11.37
11,10,11,381290,30338,11.38
11,10,11,393124,30450,11.39
11,10,11,401246,30411,11.40
11,10,11,413194,30288,11.41
11,10,11,422350,29901,11.42
11,10,11,434198,29481,11.43
11,10,11,446112,29160,11.45
11,10,11,454211,28964,11.45
11,10,11,467030,28801,11.47
11,10,11,475089,28701,11.48
11,10,11,487116,28655,11.49
11,10,11,495388,28603,11.50
11,10,11,508202,28565,11.51
11,10,11,520045,28520,11.52
11,10,11,528325,28475,11.53
11,10,11,540232,28442,11.54
11,10,11,549185,28430,11.55
11,10,11,561323,28425,11.56
11,10,11,569156,28409,11.57
11,10,11,581182,28395,11.58
11,10,11,594105,28389,11.59
11,10,11,602166,28380,11.60
11,10,11,614150,28383,11.61
11,10,11,622344,28367,11.62
11,10,11,635302,28352,11.64
11,10,11,643336,28347,11.64
11,10,11,655273,28340,11.66
11,10,11,667167,28331,11.67
11,10,11,676354,28326,11.68
11,10,11,688267,28309,11.69
11,10,11,696297,28317,11.70
11,10,11,708302,28347,11.71
11,10,11,717299,28349,11.72
11,10,11,729130,28337,11.73
11,10,11,741171,28331,11.74
11,10,11,749193,28328,11.75
11,10,11,762130,28323,11.76
11,10,11,770240,28323,11.77
11,10,11,782398,28318,11.78
11,10,11,790132,28309,11.79
11,10,11,803148,28309,11.80
11,10,11,815069,28309,11.82
11,10,11,823226,28303,11.82
11,10,11,835333,28294,11.84
11,10,11,843348,28289,11.84
11,10,11,856194,28287,11.86
11,10,11,864293,28283,11.86
11,10,11,876291,28282,11.88
11,10,11,889168,28284,11.89
11,10,11,897166,28291,11.90
11,10,11,909173,28289,11.91
11,10,11,917174,28279,11.92
11,10,11,930176,28280,11.93
11,10,11,938373,28282,11.94
11,10,11,950252,28276,11.95
11,10,11,962064,28280,11.96
11,10,11,970261,28279,11.97
11,10,11,983182,28270,11.98
11,10,11,991125,28268,11.99
11,10,12,3199,28265,12.00
11,10,12,11225,28264,12.01
11,10,12,24269,28266,12.02
11,10,12,36163,28264,12.04
11,10,12,44261,28265,12.04
11,10,12,56309,28269,12.06
11,10,12,65174,28269,12.07
11,10,12,77432,28264,12.08
11,10,12,85272,28265,12.09
11,10,12,97161,28274,12.10
11,10,12,110085,28275,12.11
11,10,12,118266,28271,12.12
11,10,12,130199,28271,12.13
11,10,12,138309,28271,12.14
11,10,12,151285,28271,12.15
11,10,12,159208,28276,12.16
11,10,12,171106,28274,12.17
11,10,12,183014,28274,12.18
11,10,12,192328,28275,12.19
11,10,12,204211,28274,12.20
11,10,12,212053,28276,12.21
11,10,12,224235,28275,12.22
11,10,12,233126,28272,12.23
11,10,12,245200,28273,12.25
11,10,12,257193,28273,12.26
11,10,12,265143,28268,12.27
11,10,12,278178,28274,12.28
11,10,12,286272,28282,12.29
11,10,12,298299,28283,12.30
11,10,12,306290,28281,12.31
11,10,12,319288,28282,12.32
11,10,12,331064,28279,12.33
11,10,12,339253,28276,12.34
11,10,12,351220,28276,12.35
11,10,12,360416,28282,12.36
11,10,12,372231,28286,12.37
11,10,12,380283,28279,12.38
11,10,12,392240,28282,12.39
11,10,12,405208,28288,12.41
11,10,12,413169,28288,12.41
11,10,12,425206,28290,12.43
11,10,12,433357,28295,12.43
11,10,12,446224,28297,12.45
11,10,12,454309,28293,12.45
11,10,12,466237,28286,12.47
11,10,12,478141,28294,12.48
11,10,12,487059,28301,12.49
11,10,12,499257,28304,12.50
11,10,12,507161,28308,12.51
11,10,12,519150,28302,12.52
11,10,12,532083,28292,12.53
11,10,12,540243,28284,12.54
11,10,12,552184,28287,12.55
11,10,12,560279,28291,12.56
11,10,12,573286,28285,12.57
11,10,12,581099,28280,12.58
11,10,12,593262,28280,12.59
11,10,12,605025,28278,12.61
11,10,12,613449,28276,12.61
11,10,12,626167,28278,12.63
11,10,12,634215,28284,12.63
11,10,12,646159,28290,12.65
11,10,12,655251,28288,12.66
11,10,12,667154,28277,12.67
11,10,12,679665,28277,12.68
11,10,12,687250,28276,12.69
11,10,12,699165,28261,12.70
11,10,12,708127,28374,12.71
11,10,12,720106,29120,12.72
11,10,12,728178,30018,12.73
11,10,12,740249,30309,12.74
11,10,12,753088,30296,12.75
11,10,12,761311,30130,12.76
11,10,12,773173,29797,12.77
11,10,12,781108,29435,12.78
11,10,12,794132,29135,12.79
11,10,12,802112,28907,12.80
11,10,12,814182,28756,12.81
11,10,12,825989,28666,12.83
11,10,12,835158,28606,12.84
11,10,12,847058,28562,12.85
11,10,12,855057,28522,12.86
11,10,12,867824,28472,12.87
11,10,12,876202,28442,12.88
11,10,12,888239,28414,12.89
11,10,12,900082,28389,12.90
11,10,12,908268,28380,12.91
11,10,12,921210,28366,12.92
11,10,12,929164,28352,12.93
11,10,12,941185,28349,12.94
11,10,12,949273,28342,12.95
11,10,12,962328,28330,12.96
11,10,12,973961,28329,12.97
11,10,12,982153,28331,12.98
11,10,12,994218,28321,12.99
11,10,13,3272,28317,13.00
11,10,13,15163,28322,13.02
11,10,13,23224,28318,13.02
11,10,13,35306,28308,13.04
11,10,13,48076,28307,13.05
11,10,13,56267,28305,13.06
11,10,13,68078,28300,13.07
11,10,13,76300,28300,13.08
11,10,13,89075,28297,13.09
11,10,13,97126,28295,13.10
11,10,13,109274,28295,13.11
11,10,13,121073,28294,13.12
11,10,13,130144,28303,13.13
11,10,13,142244,28303,13.14
11,10,13,150138,28293,13.15
11,10,13,162064,28290,13.16
11,10,13,171058,28288,13.17
11,10,13,183085,28308,13.18
11,10,13,198991,28344,13.20
11,10,13,203164,28348,13.20
11,10,13,216194,28336,13.22
11,10,13,224289,28335,13.22
11,10,13,236139,28337,13.24
11,10,13,244274,28346,13.24
11,10,13,257271,28354,13.26
11,10,13,269020,28343,13.27
11,10,13,277280,28332,13.28
11,10,13,289207,28331,13.29
11,10,13,298274,28334,13.30
11,10,13,310280,28332,13.31
