Hour,Minute,Second,Microsecond,IR1,
11,41,41,611216,38545,41.611
11,41,41,624221,38549,41.624
11,41,41,636014,38543,41.636
11,41,41,644336,38552,41.644
11,41,41,656223,38549,41.656
11,41,41,665143,38543,41.665
11,41,41,677149,38593,41.677
11,41,41,685220,38629,41.685
11,41,41,697210,38609,41.697
11,41,41,710107,38604,41.710
11,41,41,718111,38612,41.718
11,41,41,730313,38620,41.730
11,41,41,738170,38617,41.738
11,41,41,751131,38618,41.751
11,41,41,759171,38620,41.759
11,41,41,771241,38617,41.771
11,41,41,783187,38616,41.783
11,41,41,792521,38625,41.793
11,41,41,804214,38608,41.804
11,41,41,812327,38622,41.812
11,41,41,824212,38610,41.824
11,41,41,833121,38623,41.833
11,41,41,845231,38616,41.845
11,41,41,856995,38603,41.857
11,41,41,865308,38612,41.865
11,41,41,878233,38613,41.878
11,41,41,886167,38614,41.886
11,41,41,898359,38612,41.898
11,41,41,906137,38610,41.906
11,41,41,919269,38600,41.919
11,41,41,931123,38614,41.931
11,41,41,939215,38618,41.939
11,41,41,951495,38618,41.951
11,41,41,960130,38625,41.960
11,41,41,972247,38615,41.972
11,41,41,980350,38610,41.980
11,41,41,992346,38601,41.992
11,41,42,5035,38595,42.005
11,41,42,13342,38600,42.013
11,41,42,25089,38592,42.025
11,41,42,33232,38596,42.033
11,41,42,46179,38593,42.046
11,41,42,54369,38585,42.054
11,41,42,66137,38585,42.066
