AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,,,,,
-0.26,-0.2621,0.899,-0.218,0.7178,0.3366,-3.15,1.015,-9.8087,-16.2537979644,-15.4673713676,-102.7572112938,,,,,
,,,,,,,,,,,,,,,,
-0.2611,-0.2631,0.899,-0.2148,0.7184,0.3358,-3.5613,0.9013,-9.87,-16.3124276414,-15.5238658153,-102.5554599296,,,,,
,,,,,,,,,,,,,,,,
-0.2605,-0.2618,0.9008,-0.2148,0.7184,0.3358,-3.3338,1.1025,-9.7125,-16.2057262832,-15.5219546299,-102.5432168988,,,,,
,,,,,,,,,,,,,,,,
-0.2605,-0.2607,0.8974,-0.2154,0.72,0.3318,-3.5613,1.7237,-9.6687,-16.1989088678,-15.5336386992,-102.6434911422,,,,,
,,,,,,,,,,,,,,,,
-0.2594,-0.26,0.9048,-0.2154,0.72,0.3318,-3.6663,1.6187,-9.5812,-16.0327253646,-15.4983176316,-102.6424117887,,,,,
,,,,,,,,,,,,,,,,
-0.26,-0.2614,0.8999,-0.2142,0.7176,0.332,-3.745,1.2512,-9.3887,-16.1969693403,-15.5019519497,-102.5962032809,,,,,
,,,,,,,,,,,,,,,,
-0.2627,-0.2616,0.8952,-0.215,0.719,0.3336,-3.815,0.9887,-9.485,-16.2894780589,-15.6170554625,-102.5742831624,,,,,
,,,,,,,,,,,,,,,,
-0.2589,-0.2628,0.9021,-0.215,0.719,0.3336,-3.535,0.9538,-10.0625,-16.2420212363,-15.5088266496,-102.6317505873,,,,,
,,,,,,,,,,,,,,,,
-0.2605,-0.2618,0.9028,-0.2158,0.7188,0.3353,-2.7388,0.84,-9.835,-16.1716196957,-15.4985276058,-102.6164263968,,,,,
,,,,,,,,,,,,,,,,
-0.2596,-0.2608,0.8966,-0.2158,0.7188,0.3353,-3.4563,1.26,-9.8175,-16.2183711807,-15.5147617312,-102.6168231976,,,,,
,,,,,,,,,,,,,,,,
-0.2592,-0.2622,0.9022,-0.2137,0.7183,0.3355,-3.7975,1.2862,-9.6337,-16.2051063912,-15.4767281264,-102.4974691023,,,,,
,,,,,,,,,,,,,,,,
-0.2622,-0.2619,0.8998,-0.2145,0.7178,0.3363,-4.0338,1.4262,-9.0738,-16.2283583885,-15.5328195382,-102.4991107322,,,,,
,,,,,,,,,,,,,,,,
-0.2589,-0.2614,0.8995,-0.2145,0.7178,0.3363,-3.955,1.155,-9.1437,-16.2042319142,-15.4951173595,-102.532246494,,,,,
,,,,,,,,,,,,,,,,
-0.2607,-0.2618,0.8983,-0.2143,0.7195,0.3352,-4.2525,1.0237,-9.4937,-16.2481006314,-15.5316106731,-102.5114976581,,,,,
,,,,,,,,,,,,,,,,
-0.2603,-0.2611,0.9005,-0.2143,0.7195,0.3352,-3.5438,0.735,-9.6162,-16.1696999544,-15.5229471775,-102.5051590411,,,,,
,,,,,,,,,,,,,,,,
-0.2599,-0.2632,0.9008,-0.2135,0.7184,0.3359,-3.1675,1.0937,-9.835,-16.2872835179,-15.5023832061,-102.4804487718,,,,,
,,,,,,,,,,,,,,,,
-0.2589,-0.2609,0.9001,-0.2137,0.717,0.3338,-3.5788,0.8925,-9.7562,-16.1648685431,-15.4714819114,-102.5343396117,,,,,
,,,,,,,,,,,,,,,,
-0.2595,-0.2611,0.8998,-0.2137,0.717,0.3338,-3.5788,0.98,-9.73,-16.1814005378,-15.4764121349,-102.530147089,,,,,
,,,,,,,,,,,,,,,,
-0.2589,-0.2621,0.9021,-0.2178,0.7177,0.334,-3.6138,1.0062,-9.6075,-16.2008756356,-15.4424566624,-102.8138590806,,,,,
,,,,,,,,,,,,,,,,
-0.2583,-0.2612,0.8987,-0.2178,0.7177,0.334,-3.8325,0.9975,-9.485,-16.2060734897,-15.435831863,-102.8108378703,,,,,
,,,,,,,,,,,,,,,,
-0.2595,-0.2621,0.8979,-0.214,0.7192,0.3402,-3.5788,1.0937,-10.0275,-16.2725462624,-15.4689569641,-102.402641242,,,,,
,,,,,,,,,,,,,,,,
