AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2851,-0.1768,0.9168,-0.2854,0.7602,0.4123,-3.6925,1.4437,-10.4825,0,0,0
-0.2835,-0.1754,0.9172,-0.283,0.7588,0.4106,-2.695,0.945,-10.1062,0,0,0
-0.2827,-0.1762,0.9172,-0.2854,0.7608,0.4137,-3.5788,1.5837,-9.7475,0,0,0
-0.2841,-0.1768,0.9165,-0.2854,0.7608,0.4137,-2.8525,1.12,-9.38,0,0,0
-0.2838,-0.1777,0.9124,-0.2823,0.7606,0.4132,-3.1238,1.12,-9.94,0,0,0
-0.2846,-0.1763,0.9121,-0.2823,0.7606,0.4132,-3.15,1.1462,-10.2375,-10.91372442408959,-16.202170065643397,-103.0883951032757
-0.2835,-0.178,0.9162,-0.2862,0.7599,0.4074,-3.1588,1.4175,-10.3425,-10.994309299565543,-16.861902208760096,-103.63045081939535
-0.2841,-0.1787,0.9167,-0.2862,0.7595,0.4138,-3.3863,1.1638,-10.36,-11.030719895302436,-16.916444797697455,-103.49512724757628
-0.2849,-0.1763,0.9137,-0.283,0.7595,0.4138,-3.3163,0.9275,-10.0712,-10.921369107839952,-17.01747284800908,-103.2318638151839
-0.2847,-0.1768,0.9176,-0.2828,0.7594,0.4118,-3.4825,0.7962,-9.8175,-10.905942694835796,-16.947523225800712,-103.29072959091053
-0.2848,-0.1743,0.9141,-0.2828,0.7594,0.4118,-3.255,1.26,-10.1412,-10.795793745692523,-17.01329637211716,-103.24030387280878
-0.2844,-0.1768,0.914,-0.2821,0.762,0.4057,-4.1912,1.4525,-9.8087,-10.947461938267201,-16.98900901681346,-103.3415112577544
-0.284,-0.176,0.9205,-0.2821,0.762,0.4063,-3.4038,1.2337,-9.45,-10.824629536655026,-16.865205178622954,-103.35129866143086
-0.283,-0.1766,0.9108,-0.283,0.7598,0.4063,-3.8238,1.3912,-10.0275,-10.972875266456148,-16.95867692652669,-103.42514764980488
-0.2842,-0.1771,0.9135,-0.2834,0.7605,0.4126,-3.5525,1.1287,-10.1937,-10.971811004383328,-16.98271342225886,-103.29677827498959
-0.2829,-0.1769,0.9152,-0.2834,0.7605,0.4126,-2.7913,1.19,-10.3337,-10.939928019671903,-16.887677272197163,-103.3285911717703
-0.284,-0.1755,0.9154,-0.2834,0.7601,0.4156,-3.4125,1.225,-10.1237,-10.853229936309699,-16.943006538453385,-103.22624329663186
-0.2866,-0.1764,0.9134,-0.2834,0.7599,0.4126,-3.22,0.7,-10.045,-10.930471148425172,-17.11443032265084,-103.24196740607333
-0.2831,-0.1745,0.9151,-0.2827,0.7599,0.4126,-2.94,1.0237,-10.1675,-10.7964137546233,-16.91369456504017,-103.2542628760069
-0.2838,-0.1774,0.9166,-0.2822,0.7603,0.4113,-3.6575,1.4787,-9.7562,-10.953298577342855,-16.908571263890696,-103.27676554320799
-0.2836,-0.1765,0.9096,-0.2822,0.7603,0.4113,-4.0775,1.1462,-9.555,-10.98121737472351,-17.012773295317448,-103.24086080308263
-0.2831,-0.1757,0.9147,-0.281,0.7609,0.4105,-4.0075,1.4525,-9.9925,-10.87347122256987,-16.91160027465442,-103.19589650048191
-0.2836,-0.1767,0.9135,-0.281,0.7609,0.4105,-4.8038,1.575,-9.5637,-10.947449344105927,-16.94946702010665,-103.19410627078145
-0.2842,-0.1787,0.9116,-0.283,0.7591,0.4156,-3.7538,0.98,-10.1325,-11.090650746671798,-17.00783187936787,-103.2364033649499
-0.2841,-0.1782,0.9155,-0.2797,0.7607,0.4107,-2.8963,1.12,-10.08,-11.014944487602062,-16.944276321534936,-103.1281038611749
-0.2833,-0.1761,0.9132,-0.2797,0.7607,0.4107,-3.64,1.2512,-10.0012,-10.915084328285653,-16.94168975147203,-103.10712273818355
