AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2704,-0.1973,0.9124,-0.1797,0.7334,0.3371,-3.0538,1.3125,-10.4387,-12.202231986181937,-16.155575115637937,-98.94607887399452
-0.2735,-0.1981,0.9123,-0.1797,0.7334,0.3371,-2.625,1.6712,-10.6575,-12.251098394478692,-16.319134585967504,-98.91107393017037
-0.2726,-0.1989,0.9096,-0.179,0.7349,0.3356,-3.3863,1.4525,-10.7275,-12.334380115976904,-16.318701006707922,-98.90900985587172
-0.274,-0.198,0.9118,-0.1803,0.7338,0.3378,-4.48,1.4875,-10.5612,-12.2519261810114,-16.36286781870928,-98.9241254509252
-0.2749,-0.1967,0.9127,-0.1803,0.7338,0.3378,-3.15,0.9625,-9.9663,-12.16226203895961,-16.403921922629046,-98.89147401790875
-0.277,-0.1984,0.9168,-0.1781,0.7341,0.3385,-3.7538,1.3737,-9.9488,-12.210680003454453,-16.449377544794768,-98.72401868899495
-0.2758,-0.1979,0.913,-0.1781,0.7341,0.3385,-4.5938,1.2862,-9.9225,-12.23007134525186,-16.448008181804592,-98.72966041766591
-0.2734,-0.1979,0.9121,-0.1786,0.733,0.341,-4.6025,1.2425,-10.0275,-12.241793793028677,-16.333532701748705,-98.75178823417089
-0.2733,-0.1972,0.9141,-0.1801,0.7337,0.3361,-3.9638,1.19,-10.1937,-12.17408605466593,-16.2937463986923,-98.9493709330122
-0.2697,-0.2,0.9126,-0.1801,0.7337,0.3361,-3.675,1.33,-10.0537,-12.360734087576985,-16.112666643629197,-99.04464440800716
-0.2728,-0.1995,0.9072,-0.1804,0.7337,0.3386,-3.36,1.1112,-9.7475,-12.40225917855163,-16.353246293489484,-98.95011624461523
-0.2742,-0.1961,0.9135,-0.1804,0.7337,0.3386,-3.185,0.63,-10.0712,-12.116425255540195,-16.355680926175452,-98.88402962439392
-0.2757,-0.1961,0.9141,-0.1794,0.7337,0.3366,-3.325,1.1462,-10.3162,-12.10804620610489,-16.42667816187465,-98.83748901749173
-0.2777,-0.1989,0.9138,-0.1809,0.7316,0.3383,-3.2638,1.225,-10.2812,-12.27920254995558,-16.53239195400535,-98.92835955609283
